steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
57519	2857	528.9747152328491	115.575	147.5	108.58974647820578	279.0	-118.0	1.2183353118566895	1.9206384347666683
58526	2944	536.4489181041718	121.81	148.0	105.83894990306221	277.0	-128.0	1.27111453928998	1.6552159308429304
59005	2999	546.7101588249207	103.61	135.0	111.7313625932069	278.0	-124.0	1.287638980996374	1.626021242207083
59512	3055	551.4449946880341	107.055	135.0	111.44073384900165	284.0	-132.0	1.2962947488590906	1.6963534252109675
60005	3099	554.9993591308594	92.66	113.5	114.80113633811563	285.0	-140.0	1.1945711378303576	1.9270734861739556
60507	3141	558.3368420600891	94.78	112.5	108.16705672617712	273.0	-136.0	1.3458804058367566	1.5533642039124238
61001	3185	564.6303820610046	114.84	146.5	113.96007587954811	278.0	-136.0	1.2052864350567691	1.7885036630588442
61506	3236	568.6358091831207	122.92	152.5	105.32988905167514	279.0	-124.0	1.2597249330982423	1.6412150901748976
63026	3380	577.8080966472626	120.555	163.0	111.29126517169975	285.0	-132.0	1.2009730465404693	1.7403365746079589
62018	3282	580.8909878730774	101.17	119.5	107.7203297768633	272.0	-130.0	1.2906300037975738	1.5706659912378658
62508	3325	581.687965631485	109.635	133.5	106.88740036498183	277.0	-116.0	1.2526996047152854	1.700039135297651
63520	3423	590.3737614154816	102.35	128.0	107.48442682570462	274.0	-132.0	1.1587774275910847	1.7202040988278884
64000	3471	594.1062080860138	88.815	103.5	113.22024951172598	279.0	-136.0	1.2968175887235531	1.572324321304651
64508	3514	595.9549021720886	114.665	146.0	115.64285157588867	285.0	-142.0	1.293255155151339	1.6180553401668527
65013	3559	604.7470831871033	105.045	127.5	109.29046161490947	281.0	-122.0	1.3184287668142363	1.6311516214205424
65507	3593	609.4716005325317	103.73	128.5	109.62245441770958	277.0	-134.0	1.2145066496764043	1.8275165607318182
66022	3630	615.2028615474701	105.435	125.5	110.6626717079781	282.0	-132.0	1.3322412170824613	1.5690732950493822
66512	3678	617.2118010520935	102.555	130.0	115.9928388666374	285.0	-138.0	1.2673113593392413	1.625258193100708
67024	3711	619.7576024532318	117.925	148.0	110.01621340082232	278.0	-122.0	1.2446711233892858	1.6623373337318228
67508	3756	629.2894840240479	106.125	124.0	107.44688707781891	285.0	-122.0	1.2230634957105497	1.6875804323558152
68004	3802	633.2177889347076	104.76	140.5	106.25948328946798	282.0	-136.0	1.3291779883210753	1.4291989771397215
68523	3836	639.0361149311066	111.885	137.0	109.30705345344082	285.0	-122.0	1.2883897593954847	1.5463192279624853
69006	3870	640.74760389328	117.055	146.0	111.89133266984162	285.0	-134.0	1.2922637165947028	1.579536226341831
70002	3993	648.3156335353851	129.52	157.0	101.44572824369921	279.0	-46.0	1.3398645962014966	1.5059177798542343
69503	3921	649.4635834693909	97.455	121.0	110.82993434417287	275.0	-124.0	1.2667592019674494	1.527369941118613
70503	4047	657.7609510421753	107.025	134.0	114.1237289195922	279.0	-138.0	1.3673634441573654	1.5862156230039028
71014	4087	663.0323872566223	113.45	136.0	113.40955043845851	280.0	-134.0	1.3696725151879638	1.4532094932885047
71501	4132	667.0102167129517	99.47	123.0	106.30017751016914	281.0	-46.0	1.2762588070573853	1.6031961949841986
72000	4169	670.4334435462952	92.93	114.0	111.42482920253488	275.0	-126.0	1.326351649558526	1.5452883499280186
72510	4210	675.6957886219025	97.29	122.5	117.46795093763846	284.0	-134.0	1.2771576235004332	1.5414384770586425
73039	4235	681.3634917736053	110.885	136.5	112.61287704066922	285.0	-132.0	1.2187937493537513	1.656560690198883
73513	4272	689.003538608551	107.035	135.5	111.28529037690183	281.0	-138.0	1.273374826838581	1.47136774603078
74004	4311	692.0109913349152	114.46	140.0	105.6566373926675	284.0	-126.0	1.297812647311586	1.4368393593688693
74513	4350	699.3706140518188	97.545	119.0	112.32852023100114	282.0	-142.0	1.292835617220162	1.5263221210276465
75006	4396	701.2056257724762	116.215	145.5	109.37161205090224	279.0	-138.0	1.2905234006406452	1.4810531605248585
75512	4425	705.1651508808136	101.785	133.0	122.06690963211807	276.0	-138.0	1.3204948305254895	1.5201163359775745
76003	4458	713.7354559898376	99.67	123.0	111.78079365054504	275.0	-122.0	1.2890994381260998	1.4891845218186504
76511	4483	715.470784664154	111.405	149.5	109.87494478934819	285.0	-132.0	1.2740359827483456	1.5886035132846454
77001	4528	719.1620862483978	115.86	144.5	112.03297432757651	278.0	-136.0	1.3239324876331844	1.5307591827765696
77506	4568	724.7159824371338	112.99	137.0	106.45243305116405	278.0	-120.0	1.2862361194961411	1.5187079695689185
78003	4623	728.154580116272	109.435	142.0	113.21006301046816	271.0	-142.0	1.2197353653709966	1.6590484423417673
78512	4684	731.6438603401184	111.69	134.0	110.55221781729034	285.0	-136.0	1.3866437589583853	1.4049204100118005
79005	4737	739.1557285785675	113.1	142.0	112.20288515535564	282.0	-120.0	1.3850584970280715	1.4267839052716695
79519	4776	745.8850538730621	105.09	126.5	108.5652984157484	279.0	-126.0	1.3057901780613317	1.4739401048982277
80021	4832	748.9762997627258	107.725	132.5	115.22675645009734	285.0	-126.0	1.2933379097121465	1.4791847439430033
80518	4883	755.9516181945801	101.705	118.5	113.54235910688922	285.0	-120.0	1.3313833560434751	1.4931175377334118
81014	4924	760.3436875343323	100.73	136.0	114.7435729689835	268.0	-128.0	1.335817077694581	1.4072320289771991
81507	4974	766.6059501171112	101.495	132.5	115.16551329396013	279.0	-132.0	1.3490041201398129	1.3997152858358801
82008	5023	767.9545385837555	116.965	147.0	114.01068351156337	280.0	-128.0	1.339622297134036	1.4964056221795645
82505	5075	770.3729422092438	104.48	137.0	116.09820656598963	279.0	-132.0	1.2924499875182291	1.5097016772598169
83003	5113	776.9957664012909	113.415	136.0	112.3073795997521	282.0	-132.0	1.2265540195670535	1.6498800186881621
83537	5166	786.0275228023529	103.09	116.5	107.45134179837568	281.0	-128.0	1.339892124706516	1.4183623727193604
84008	5223	789.0445091724396	92.12	111.0	113.92232917837984	281.0	-142.0	1.3891338907480648	1.3904946197996961
84500	5267	792.9050171375275	103.07	117.0	113.73775310956367	281.0	-114.0	1.4147922549177652	1.3781808514476788
85010	5315	794.4188771247864	116.5	140.5	106.0015170082023	285.0	-124.0	1.2980737726908569	1.4655122718638858
85506	5353	804.3570847511292	98.71	120.5	116.40121180878128	277.0	-140.0	1.3066462910256793	1.456097759771678
86007	5391	809.9834034442902	94.515	122.5	105.40493716564927	279.0	-120.0	1.3155395494950752	1.5167337612564231
86513	5443	812.7610604763031	113.755	140.0	108.6113118432031	278.0	-134.0	1.3355637323811225	1.4213596611616262
87512	5554	815.6035141944885	121.165	156.0	111.1119123240236	274.0	-132.0	1.375278518353981	1.3866331733477124
87019	5493	817.9009740352631	101.06	118.5	113.99174086276875	282.0	-120.0	1.3880416901970745	1.3494944626442678
88509	5650	826.8438358306885	117.23	142.0	113.81112405999247	278.0	-134.0	1.3948422480561073	1.4403814738603578
88014	5602	828.5473744869232	103.135	119.5	101.79527575398156	281.0	-42.0	1.2446046937505977	1.6259413549206372
89017	5696	837.9220049381256	102.295	125.5	107.81222264548113	273.0	-130.0	1.3418621335108398	1.4202250040206206
89501	5754	838.9728980064392	106.19	137.0	114.5505699039801	282.0	-138.0	1.3719229726155286	1.4532918535098853
90001	5797	845.8547246456146	107.035	127.5	112.88653873753373	281.0	-132.0	1.31036763917857	1.4758536827243456
90507	5860	847.9562814235687	116.47	138.0	106.35159807008215	275.0	-142.0	1.4285310596658145	1.3631798350238946
91001	5906	856.9558351039886	106.46	127.0	109.46975167900636	276.0	-130.0	1.4523598879872541	1.351491932225115
91505	5954	862.5378994941711	104.71	128.0	119.05661800780874	278.0	-128.0	1.3598502003931066	1.421789536481627
92012	6001	869.0305263996124	106.07	138.0	110.24780265361187	280.0	-128.0	1.3890626038684064	1.3671982556160764
92501	6031	873.9074220657349	86.95	110.0	110.5156370390668	280.0	-132.0	1.3692465084032968	1.3659452579943563
93000	6072	875.1514201164246	112.695	149.5	110.60960354772511	275.0	-130.0	1.348845264391759	1.4041210851714019
94004	6159	884.2629432678223	105.13	125.5	111.63068642068707	285.0	-132.0	1.283306623158343	1.566406600139197
93537	6120	884.5051455497742	88.58	101.5	113.54202993963985	285.0	-126.0	1.3306508006937918	1.4592880404082142
94507	6193	889.9837231636047	84.49	106.5	109.11102593184383	282.0	-124.0	1.3320514008869284	1.4389879259099907
95009	6231	893.2686245441437	102.665	125.5	111.3089447479605	285.0	-132.0	1.3326448917741154	1.4923761191786415
95518	6273	902.1271774768829	97.77	125.5	109.11064459446244	280.0	-122.0	1.3237700267428607	1.501852384682453
96029	6308	902.4668638706207	111.825	145.0	116.31552295113917	285.0	-126.0	1.2940991621342839	1.5525280382560807
96503	6347	907.5223507881165	116.505	141.0	111.53272037195111	279.0	-120.0	1.370570346986183	1.4970152858392498
97018	6391	912.7085659503937	105.875	132.5	114.68847635242261	282.0	-132.0	1.349008279577228	1.5211388167543884
98001	6478	926.3734347820282	94.615	124.5	107.58087655340981	271.0	-128.0	1.3684267442788338	1.4020849907755302
